Price,returns_1d,returns_5d,returns_20d,returns_60d,volatility_10d,volatility_20d,volume_ratio,volume_change,rsi,rsi_30,macd,macd_signal,macd_diff,bb_high,bb_low,bb_width,stoch_k,stoch_d,adx,cci,mfi,sma_5,ema_5,distance_to_sma_5,sma_10,ema_10,distance_to_sma_10,sma_20,ema_20,distance_to_sma_20,sma_50,ema_50,distance_to_sma_50,sma_200,ema_200,distance_to_sma_200,momentum_5,roc_5,momentum_10,roc_10,momentum_20,roc_20,high_52w,low_52w,distance_to_high,distance_to_low,target
2022-02-25,0.032018577251974545,-0.02517039192768955,-0.06541652120694064,0.010589620605735206,0.02735955178933007,0.021938744672285303,1.1988540439771582,-0.39565046042008767,38.11970917451829,43.6054346893869,-15.108550346645984,-8.268893039539028,-6.839657307106956,0.0,0.0,0.16315488752549295,26.056307088168584,13.356900176714447,29.628669380009647,-116.79461642690679,39.7915994530123,715.447607421875,712.9038974111314,-0.010182279764081772,725.6570617675782,725.6608535981975,-0.0241082778115635,751.0715728759766,740.7194587552161,-0.05713017866607443,751.8475854492187,747.3041777956824,-0.05810335308393007,696.5214697265625,712.9518258948115,0.016713411583091742,-18.28497314453125,-2.5170391927689515,-58.9287109375,-7.682097411319805,-49.568115234375,-6.541652120694064,841.0069364855135,513.721692737257,0.18758996069469053,0.2745711141987022,1
2022-02-28,0.017327674341596655,-0.015574308083751487,-0.05844312170156285,0.03685607175606709,0.02450092482499747,0.022235315052233664,1.4256415697101434,0.21325787166201682,42.62250355589261,45.858604922146775,-14.732198427507683,-9.56155411713276,-5.170644310374923,0.0,0.0,0.1634246800973339,37.93430018791111,22.926457334183695,30.143185445120775,-94.42335221691455,48.53217533782042,713.1680541992188,715.4137758457022,0.010187610722108165,724.5900451660157,724.7104316194059,-0.0057363642778443,748.8356811523438,738.7874657989707,-0.03792841227035746,752.1269506835938,746.2503846332611,-0.0421383889248278,697.2474630737305,713.0327140762255,0.03325371674914425,-11.39776611328125,-1.5574308083751531,-10.670166015625,-1.459459996461966,-44.71783447265625,-5.844312170156283,841.0069364855135,513.721692737257,0.1673622871443911,0.2869270107384158,0
2022-03-02,-0.03749844432830274,-0.04851594521392333,-0.1177959728950354,0.0074694486064053045,0.024307685178075397,0.022347335228660968,1.7209230024628237,0.22898530580366439,36.35108651943805,42.033774130246506,-16.42450115301176,-10.93414352430856,-5.490357628703201,0.0,0.0,0.17586021244361583,11.783986607192174,25.25819796109063,30.882897153648084,-128.47825137500945,41.112712517503596,706.0966064453125,708.0819825624994,-0.01795534822500344,718.6535217285157,719.0209705969855,-0.035114453584984925,744.2062591552734,734.4666020081812,-0.06824433755344583,752.2220104980469,744.1784618931154,-0.07817321705731423,697.8260494995117,712.8208371125141,-0.00631626392648875,-35.35723876953125,-4.8515945213923315,-59.365234375,-7.886095284210044,-92.58843994140625,-11.779597289503535,841.0069364855135,513.721692737257,0.21284197440047606,0.25914614365069294,0
2022-03-03,-0.02315163841246959,-0.06218106658912592,-0.14187405849607115,-0.04947940353792846,0.024691633570017895,0.02252445558531957,1.518442679572029,-0.08165122871833796,33.22272733374585,39.983709069567865,-18.843848332886296,-12.516084486024107,-6.327763846862188,0.0,0.0,0.18855477854503674,4.665680614103116,18.127989136402146,32.01449521782602,-142.45372057508973,33.638061519878576,697.1142211914063,697.8428630494788,-0.028330503908262885,712.2756408691406,711.447089401795,-0.04901335219480987,738.606820678711,729.0283183905417,-0.08291582874769228,751.7942321777343,741.5582141253772,-0.09900263259362259,698.197182006836,712.4381595019013,-0.029837642603367766,-44.91192626953125,-6.218106658912593,-63.77880859375,-8.605460938718561,-111.98876953125,-14.187405849607115,841.0069364855135,513.721692737257,0.24158674170207894,0.24158765527813916,0
2022-03-04,-0.014678577343439025,-0.027353806297084948,-0.14945303846776103,-0.08674023496288008,0.02457741593559744,0.02257960682216144,1.1894125365805037,-0.19375837489292536,31.41925624111711,38.77215759373703,-21.31775731804362,-14.276419052428011,-7.041338265615607,0.0,0.0,0.20166908171223297,3.2795551912796013,6.576407470858304,33.30283972202498,-155.19344236102043,33.14902187968755,693.3602294921875,687.7025336996525,-0.037409636995165675,706.2324157714844,703.442504965105,-0.05495434633807905,732.743051147461,723.1610380675892,-0.08914608749297494,750.9260632324218,738.6508030184624,-0.11120161134502551,698.4721752929687,711.952709486153,-0.04445459875326443,-18.76995849609375,-2.7353806297084997,-60.4322509765625,-8.302797060534692,-117.275390625,-14.9453038467761,841.0069364855135,513.721692737257,0.2600829669922244,0.2302893986846671,0
2022-03-07,-0.04985093790237627,-0.10451334009851987,-0.18793866020076289,-0.13410596026490063,0.027663498194030214,0.024434084537893527,1.6752964009099505,0.4868450250606735,26.278505538563508,35.091301655705905,-25.667212936604415,-16.55457782926329,-9.112635107341124,0.0,1.0,0.24005981330251083,8.53881413000151,5.494683311794749,35.40628578352155,-212.95176613072744,32.07114014127349,678.5577392578125,669.8517786513308,-0.06544390865204286,697.0026733398438,690.8439165268472,-0.09017527075468014,725.4048522949219,714.6838219234461,-0.1257981435491332,749.4215625,734.5526024164432,-0.15381368740015744,698.6182894897461,711.1143964756653,-0.09227932034551294,-74.012451171875,-10.451334009851983,-92.29742431640625,-12.705309029425768,-146.76397705078125,-18.793866020076283,841.0069364855135,513.721692737257,0.3261950332407487,0.18990542429620544,1
2022-03-08,0.017208413001912115,-0.10461831801411492,-0.15437443726441913,-0.12269126374583272,0.028629159120797627,0.024957230587990615,1.5535940392407332,-0.03895334341995016,30.306306829210115,37.11686362025079,-27.91187188536253,-18.82603664048314,-9.08583524487939,0.0,0.0,0.253140902829431,16.875906898552465,9.564758739944532,37.18029151705109,-166.64306139721162,33.23003590554012,663.4836303710938,661.5888485279705,-0.02776352158008921,688.3258422851562,682.5201113912841,-0.06285228789359257,719.5168304443359,708.0532663384345,-0.10347755467666704,748.2167980957031,731.043090244328,-0.137866204122911,698.8520932006836,710.403286004212,-0.07696779539299088,-75.37054443359375,-10.461831801411487,-86.768310546875,-11.856326818191068,-117.76043701171875,-15.437443726441918,841.0069364855135,513.721692737257,0.3037594029791571,0.20361003177991624,1
2022-03-09,0.003684271082417645,-0.06630747189037689,-0.157791747293618,-0.11478773022599775,0.028978709127307045,0.02483780956709819,1.8582051545401927,0.2624422862243947,31.18805210521998,37.555877406021466,-29.16283852289314,-20.89339701696514,-8.269441505928,0.0,0.0,0.2598024780708361,20.223838521332137,15.21285318329538,38.448900222023276,-131.10137680028902,38.05386579704586,654.2878662109375,656.8724240837512,-0.010466785904626855,680.192236328125,676.1418320829256,-0.048152065524330066,713.4517852783204,702.2805338485814,-0.0925251172470698,746.8869030761718,727.7644173199246,-0.13314911196229282,698.9824426269531,709.7259702615892,-0.073739859956896,-45.97882080078125,-6.6307471890376934,-81.3360595703125,-11.160644743079297,-121.3009033203125,-15.779174729361802,841.0069364855135,513.721692737257,0.2989736319899934,0.20653337791054402,1
2022-03-10,0.01370878564055178,-0.03107549129379128,-0.15719978283120295,-0.10815277404783286,0.030055801761424597,0.024870359031468028,1.843478058215998,0.06614553881050456,34.51992219052259,39.19588080622934,-29.102574652196836,-22.53523254401148,-6.567342108185358,0.0,0.0,0.24988212498318643,28.529962754935482,21.876569391606704,37.88363297855953,-88.04357959074947,47.53490950507291,650.077978515625,656.6866779047924,0.009594552095876153,673.5960998535156,672.5369872581891,-0.02565471253529918,707.3309631347656,697.9028816293494,-0.07212433817656974,745.7383984375,724.96240150805,-0.11991230849583175,699.1334744262696,709.1518809217952,-0.06124479866241933,-21.0494384765625,-3.1075491293791226,-65.96136474609375,-9.13242506894881,-122.41644287109375,-15.719978283120298,841.0069364855135,513.721692737257,0.28140709678192805,0.2172637414915243,1
2022-03-11,0.0019214981250001983,-0.014751660716376014,-0.1584108955946385,-0.09883676433304933,0.02648886898773224,0.02483709056621339,1.0337580497310563,-0.42861705115051496,35.0014999429024,39.4297054670309,-28.62310485673663,-23.752807006556512,-4.870297850180119,0.0,0.0,0.23500633808164365,29.60663769803527,26.120146324767635,37.453759823674964,-88.66097660900525,45.965086486923624,648.1088623046875,656.9832165849658,0.014607779944496755,670.7345458984375,669.8168612013025,-0.01961767443407852,701.1422393798828,694.0622542308523,-0.06213567374446256,744.6170568847656,722.3197318925522,-0.11689332407130612,699.2765457153321,708.5979595307958,-0.059633419747207275,-9.8455810546875,-1.475166071637598,-28.61553955078125,-4.170195294366491,-123.77447509765625,-15.841089559463853,841.0069364855135,513.721692737257,0.2789495975283076,0.21876488330344107,1
