Price,returns_1d,returns_5d,returns_20d,returns_60d,volatility_10d,volatility_20d,volume_ratio,volume_change,rsi,rsi_30,macd,macd_signal,macd_diff,bb_high,bb_low,bb_width,stoch_k,stoch_d,adx,cci,mfi,sma_5,ema_5,distance_to_sma_5,sma_10,ema_10,distance_to_sma_10,sma_20,ema_20,distance_to_sma_20,sma_50,ema_50,distance_to_sma_50,sma_200,ema_200,distance_to_sma_200,momentum_5,roc_5,momentum_10,roc_10,momentum_20,roc_20,high_52w,low_52w,distance_to_high,distance_to_low,target
2022-02-25,0.009802347841059822,-0.007235129932727236,0.004981563384956811,-0.030687802620887106,0.019560767919900607,0.019233453293115467,1.5879374314608163,-0.2836220208397662,42.50788838911404,45.30209545634484,-19.90767094030093,-19.95643454442846,0.04876360412752945,0.0,0.0,0.06332412806610312,23.30742332227247,32.74799675566314,19.99723790486173,-109.47685589767296,52.08851245847725,1540.5797607421875,1533.0787283962181,-0.012545722097221221,1541.01513671875,1541.3363776111328,-0.012824703049652424,1553.1072265625,1556.106155349619,-0.020510593745476743,1613.0677001953125,1579.0505236956212,-0.056919883144943506,1492.4899877929688,1523.488493066195,0.01927120961452871,-11.086669921875,-0.7235129932727201,-24.0135498046875,-1.5540078945771865,7.5406494140625,0.49815633849567154,1754.0273268080673,1095.7786387480553,0.15301556882534997,0.2796863474402367,1
2022-02-28,0.012392216173570114,-0.008724834956789884,-0.011865031884732646,-0.01149519487440731,0.018421846317155443,0.0182131515556923,2.3387485893998914,0.5483318187079125,45.977013032093154,46.91830615684307,-18.75761139724068,-19.716669914990906,0.9590585177502255,0.0,0.0,0.06287669355817384,46.464569710595676,25.723493950670306,20.195373587146747,-88.12751775374288,62.34163231415521,1537.8686767578124,1535.4204055193538,0.0014533640235944397,1544.0134643554688,1541.112265275586,-0.00253217001023751,1552.1825866699219,1554.5821176749375,-0.007781833791996719,1611.1780249023439,1577.5231382009895,-0.0441132289779255,1494.349581298828,1523.6681283739333,0.030618122452330903,-13.555419921875,-0.8724834956789886,29.9832763671875,1.985489018711401,-18.4927978515625,-1.1865031884732664,1754.0273268080673,1095.7786387480553,0.1389020484405528,0.28850336751673644,0
2022-03-02,-0.007460609216638825,-0.01819110551479408,-0.03907888676704885,0.00442423326083663,0.014931229242589892,0.017573612122485247,1.0371415917757656,-0.5508592752900499,44.225384332984945,46.06018165764203,-18.559395797812385,-19.485215091555204,0.9258192937428191,0.0,0.0,0.06022564820095869,34.711212481570385,34.82773517147951,20.37935672069712,-81.92357731870126,56.867262155759285,1532.20419921875,1533.1514861665485,-0.0023433898429748227,1540.8311401367187,1538.8397893092863,-0.007929157425191378,1549.0742919921875,1552.1089300354863,-0.013208304234999947,1609.4526391601562,1575.6050448509698,-0.05022763002296362,1496.1983813476563,1523.7215506526916,0.021665085671382752,-28.3223876953125,-1.8191105514794088,-31.8232421875,-2.039380278600674,-62.1658935546875,-3.907888676704882,1754.0273268080673,1095.7786387480553,0.1474628201321813,0.28315526911056377,1
2022-03-03,0.010599962323525336,-0.012623070627917232,-0.03707124368919601,0.005374862839944816,0.015438999127024565,0.01764501133314616,1.0988452652675558,0.08456899213747526,47.27589786398402,47.461971113126744,-16.900028871878703,-18.968177847619906,2.0681489757412024,0.0,0.0,0.04976152167801116,59.89274109040976,47.02284109419194,19.94570377888527,-8.336854664670948,58.046013990203036,1528.2542724609375,1537.0399556214488,0.010837608877508205,1539.7134887695313,1539.9265357132797,0.003314516498648793,1546.1006408691405,1551.4144504636486,-0.0008303122733128653,1607.8233032226562,1574.397621587762,-0.03918739613060636,1498.0709765625,1523.9492319273447,0.031204074239535747,-19.7496337890625,-1.2623070627917188,-11.176513671875,-0.7182879832879072,-59.4730224609375,-3.707124368919606,1754.0273268080673,1095.7786387480553,0.13542733317937908,0.29067409695791047,1
2022-03-04,0.0014238483335624608,0.02690467846326805,-0.008771553844702629,-0.01713855264241615,0.015373075134856662,0.016603899470970792,1.3065119198907185,0.23560966304187536,47.69412309293611,47.65301227425437,-15.231896680922546,-18.220921614280435,2.9890249333578893,0.0,0.0,0.04893885944712044,62.52032402858853,52.374759200189565,20.066190841653732,-31.209119256361284,57.258570850562904,1536.3605712890626,1540.3654635783616,0.006935812075796903,1539.5788330078126,1541.2156164003538,0.0048309617701383185,1545.4161499023437,1550.995596085411,0.0010355331086354454,1606.0027587890625,1573.3238130130756,-0.03672862887318514,1499.9079132080078,1524.1979862574171,0.031407639008600025,40.531494140625,2.690467846326814,-1.3465576171875,-0.0869665307757137,-13.6898193359375,-0.8771553844702662,1754.0273268080673,1095.7786387480553,0.13381295549213004,0.291682633459892,1
2022-03-07,0.009603603963305396,0.02670256859660136,-0.0007178973480206352,-0.013382816612754977,0.015171099096051487,0.01674875275011061,1.3535662745319514,0.0736226870486183,50.547520302221784,48.95007208979851,-12.566204145704205,-17.089978120565192,4.523773974860987,0.0,0.0,0.04834376374506643,80.26813823802645,67.56040111900825,19.715465626267903,42.69251582143079,64.88698560278894,1544.4848388671876,1547.5347800808868,0.0112584946003767,1542.5322998046875,1544.9715794340964,0.012538546702522198,1545.3600463867188,1552.031578656897,0.0106857730260527,1603.888662109375,1572.8747623348606,-0.026195863850163134,1501.8323388671874,1524.6039349668392,0.03997854664924731,40.621337890625,2.6702568596601357,29.53466796875,1.9274242110540185,-1.1220703125,-0.0717897348020655,1754.0273268080673,1108.3231608715223,0.12302784086866142,0.29038861178787473,1
2022-03-08,0.022042042328380695,0.03648879684033557,0.0368513015140437,0.01077168266933115,0.016070462963034247,0.017037420343778198,1.4584875177062935,0.12747249498798463,56.47300157483014,51.812250441053216,-7.588190184203995,-15.189620533292953,7.601430349088957,1.0,0.0,0.05469004251189041,83.85183846196693,75.5467669095273,18.522333239812177,178.24520341462969,66.87237535762924,1555.7241455078124,1563.789951043508,0.02608183949455442,1546.7964111328124,1554.3040728040332,0.03200413543737337,1548.196795654297,1556.247646686623,0.031070660686985625,1602.3571728515626,1573.793440839538,-0.0037799811336905343,1503.9187744140625,1525.3758190543087,0.06142719947803035,56.196533203125,3.6488796840335653,42.64111328125,2.7445603153342004,56.7349853515625,3.6851301514043753,1754.0273268080673,1126.1059009087364,0.09880787125959956,0.29455259397688927,1
2022-03-09,0.01976715874077728,0.06492220382940883,0.05593072280904465,0.0393773518302607,0.01692972052370438,0.01749483952554528,1.317257436190611,-0.07200919477445489,61.076550286529255,54.2446125660372,-1.0844078587251715,-12.368577998379397,11.284170139654226,1.0,0.0,0.0683123245029877,89.04562531744243,84.38853400581195,18.09853316118429,280.47124684837854,68.32088850031155,1575.5723388671875,1585.1448387816097,0.033183037110320945,1553.8882690429687,1567.676898522902,0.04760081319128518,1552.5080200195312,1563.0673578839167,0.04853217713962821,1601.4091943359374,1575.9135539166502,0.016513842942460017,1506.0960778808594,1526.47820803972,0.0808438041670439,99.240966796875,6.492220382940878,70.9185791015625,4.555009165450095,86.2244873046875,5.593072280904462,1754.0273268080673,1148.8621514244055,0.07750858795690468,0.2942476918012693,1
2022-03-10,0.006920985033427973,0.0610454724325451,0.050998601687602285,0.042091151629051415,0.01694582250362221,0.017401752517179136,0.8316590842815352,-0.35771105452829566,62.59759814958157,55.08206340886946,4.922246781600052,-8.910413042383508,13.83265982398356,1.0,0.0,0.08202009320238579,89.51324041741832,87.4702347322759,17.969606738007617,243.58278760416516,72.25318390438284,1594.433154296875,1603.136883080969,0.02802740099977363,1561.3437133789062,1580.666730005954,0.04981430906873379,1556.4848510742188,1570.3105591978358,0.05309150329888326,1600.2942431640624,1578.392351513276,0.024262243447716096,1508.358102416992,1527.6889562089532,0.08669219136567176,94.3040771484375,6.10454724325452,74.554443359375,4.765182049459741,79.53662109375,5.099860168760221,1754.0273268080673,1148.8621514244055,0.07010242508863128,0.29909861976379315,0
2022-03-11,-0.002135961099457351,0.05727372314984769,0.029611299584197948,0.05062864047504512,0.00914586113406297,0.01701430110691466,0.6028472619320405,-0.2731747796227446,61.78952272117718,54.75986489526308,9.292931332153785,-5.26974416747605,14.562675499629835,1.0,0.0,0.09103670103553152,87.34353460252066,88.63413344579381,17.84988934505785,192.4048982079462,72.56312131193096,1612.1538330078124,1613.9645464029375,0.014555707748609667,1574.2572021484375,1590.6582105588489,0.038978809062898974,1558.836846923828,1576.5304938501536,0.04925661481159416,1599.15326171875,1580.636633573733,0.022803700058699312,1510.5429809570312,1528.8481333912498,0.08280260387599109,88.6033935546875,5.727372314984764,129.1348876953125,8.571933271885666,47.0399169921875,2.9611299584198036,1754.0273268080673,1148.8621514244055,0.07239301485168423,0.29759831709291024,1
