Price,returns_1d,returns_5d,returns_20d,returns_60d,volatility_10d,volatility_20d,volume_ratio,volume_change,rsi,rsi_30,macd,macd_signal,macd_diff,bb_high,bb_low,bb_width,stoch_k,stoch_d,adx,cci,mfi,sma_5,ema_5,distance_to_sma_5,sma_10,ema_10,distance_to_sma_10,sma_20,ema_20,distance_to_sma_20,sma_50,ema_50,distance_to_sma_50,sma_200,ema_200,distance_to_sma_200,momentum_5,roc_5,momentum_10,roc_10,momentum_20,roc_20,high_52w,low_52w,distance_to_high,distance_to_low,target
2022-02-25,0.025855865996031957,-0.037193811484934614,-0.004886397120727359,-0.04564971055766254,0.02457487822787449,0.0215925116894756,1.4818896183084542,-0.22479643698388785,43.07916361281756,45.40381825984357,-4.24502141731989,-1.491583210646926,-2.753438206672964,0.0,0.0,0.07735441029632961,38.137783369936706,36.54640836307482,13.582281739502628,-149.4246530379504,49.15044534818201,704.8186889648438,699.7914477107124,-0.01737034577490921,710.3788818359375,706.4272230643588,-0.025061467425692527,712.5073638916016,710.718276629517,-0.027973913355550474,712.5625390625,715.9455381235908,-0.028049179318196955,723.8005633544922,722.5457299130686,-0.043140086242642366,-26.754638671875,-3.719381148493459,-29.8463134765625,-4.131423333727324,-3.40081787109375,-0.4886397120727395,820.4746843514532,640.7643417097112,0.184671410621054,0.07480972777491146,0
2022-02-28,-0.0204999294537197,-0.06297219514345964,-0.04001483870466227,-0.05767901800623165,0.02365491797920841,0.0217372216070051,1.919284119854298,0.3582238083649596,39.153393187710364,43.12561465621454,-6.273466991650025,-2.447959966847546,-3.825507024802479,0.0,1.0,0.0901811740900479,14.881093711627873,20.85436586773729,15.25584047790532,-191.11586909960107,46.406798059956124,695.7007202148437,692.6536287146937,-0.024899686012741135,708.1219848632812,701.3273626385948,-0.0420040540703841,711.0935302734375,707.6382494002612,-0.04600736493580687,712.1173413085937,714.4722417266883,-0.04737892005822764,723.8785223388672,722.06821212385,-0.0628565846506922,-45.58984375,-6.297219514345964,-22.5689697265625,-3.219782808116984,-28.27667236328125,-4.001483870466227,820.4746843514532,640.7643417097112,0.20946536528613718,0.05544644656421762,0
2022-03-02,-0.03645925226808655,-0.0903223148568929,-0.08199735142345344,-0.08614842032685721,0.02267942201009053,0.022932634010486414,2.7208748730912817,0.5475993728827075,33.43691688143798,39.54940303651085,-9.76422763349251,-3.911213500176539,-5.8530141333159715,0.0,1.0,0.12090766764660013,10.960778848555934,21.326551976706842,17.723596242019273,-243.17154890695986,35.4185519312195,682.7205810546875,679.6506979517229,-0.04258805935510126,701.2942077636719,692.6578124180833,-0.06794490929824984,708.1743041992188,702.496019593121,-0.07700006545012636,711.6283850097657,712.0867611207519,-0.0814800952370509,723.8627697753906,721.3290920060583,-0.09700448245376322,-64.90069580078125,-9.032231485689287,-68.27777099609375,-9.457768782158915,-58.384521484375,-8.199735142345345,820.4746843514532,640.7643417097112,0.25523011676787694,0.01970564746828319,0
2022-03-03,-0.002364856694409223,-0.08654810135391744,-0.10462368728243587,-0.10139599141867772,0.022640418316023803,0.022054488595707546,1.2231767683364072,-0.5447950373920026,33.11153738138674,39.33849358109291,-12.51119060857502,-5.631208921856236,-6.879981686718785,0.0,1.0,0.13890958505958673,9.2043692878681,11.682080616017307,20.015083737267936,-194.01849142767708,28.08500935049105,670.3635131835938,670.4668186540132,-0.02724559551020481,694.4093627929688,685.2834938072671,-0.060929913969189085,704.364453125,697.6963091612216,-0.07420220148039033,710.9548828125,709.7342149295504,-0.08278418810638977,723.7128408813477,720.5818948042098,-0.09895330962421735,-61.78533935546875,-8.654810135391742,-68.84844970703125,-9.549717389191539,-76.197021484375,-10.46236872824359,820.4746843514532,640.7643417097112,0.25820559268668514,0.01738189646809812,0
2022-03-04,-0.0032822940416179502,-0.037269311143988904,-0.09822805485394182,-0.12054319094079435,0.022708389957457813,0.0220255051087622,1.4277053120108327,0.21060351592162485,32.63793302609645,39.04027367894512,-14.691534539560621,-7.4432740453971125,-7.2482604941635085,0.0,1.0,0.15506479395917674,14.9608297143875,11.70865928360385,22.476718064255948,-172.34720467676738,26.972975775525526,665.3312622070313,663.6307721690818,-0.023105156605476074,687.750439453125,678.8608002421673,-0.05494981622106543,700.8245239257812,693.1498682124255,-0.07258000111301656,710.20623046875,707.3899926688554,-0.08483106551989375,723.4658984375,719.8203028268402,-0.10160426275383246,-25.1612548828125,-3.7269311143988904,-66.5892333984375,-9.293060830647839,-70.798583984375,-9.822805485394179,820.4746843514532,635.8798200435912,0.26234899326572364,0.02166116032633557,0
2022-03-07,-0.03051585592270689,-0.09017224660864509,-0.13070867122976126,-0.13233116261244582,0.023063550025609794,0.022587470540192944,1.730235035857961,0.2749891090043981,28.56115524225514,36.39537750664991,-17.814559366760363,-9.517531109669763,-8.2970282570906,0.0,1.0,0.18325995318882496,11.67439114322983,11.946530048495148,25.195660482560417,-193.5146334382518,25.84858903829644,652.8410400390625,652.462059375742,-0.03479622887776901,678.8298645019531,669.9996790688755,-0.07174880372805179,696.0871734619141,687.1474649339694,-0.09476189504368257,709.0713623046875,704.3598747665764,-0.11133819910456573,723.1635928344726,718.8538415508375,-0.1286554798489505,-62.45111083984375,-9.01722466086451,-89.20574951171875,-12.401220855204471,-94.74700927734375,-13.070867122976127,820.4746843514532,616.9256921049088,0.302083175859637,0.02094655719898764,1
2022-03-08,0.002264440725372685,-0.06902711716943877,-0.09559651172364536,-0.12791036760568653,0.02270871961753479,0.021526222572195233,2.308856332504867,0.44939115024961884,29.245865775755362,36.714457555724366,-19.944533592669586,-11.602931606269728,-8.341601986399859,0.0,0.0,0.20329633016623336,14.747709556543954,13.794310138053765,27.77071677652014,-158.09258749373944,18.20754703628451,643.4757446289062,645.491877474453,-0.018530971923281982,669.588232421875,663.0091035421482,-0.056806133842022016,692.7493865966796,681.8526124327852,-0.0883405660241085,708.0144970703125,701.5045509174022,-0.10799635277926235,722.928567199707,717.9139433528422,-0.12639845438918634,-46.82647705078125,-6.9027117169438785,-92.41632080078125,-12.76525232203141,-66.7557373046875,-9.559651172364534,820.4746843514532,614.5236674634915,0.29914134728482966,0.026961927633397102,1
2022-03-09,0.032648004221374816,-0.0022556994064140135,-0.062044580524702964,-0.09264464692134733,0.026997471325917288,0.02309844619282047,1.326440004551524,-0.4100172465448001,38.42937809768302,41.12926426964008,-19.7412164308231,-13.230588571180403,-6.510627859642698,0.0,0.0,0.20412551047849917,33.15881688299948,19.860305860924427,28.61645434871213,-99.9419900968601,21.648588330509696,643.180859375,647.718055035052,0.013976707562450612,662.9507202148437,661.0384320174394,-0.016261103170836184,690.5923736572265,679.0257360254806,-0.05563624066321813,707.256806640625,699.5698175336747,-0.07788740379329535,722.6439038085938,717.2067243938955,-0.09752174380898128,-1.47442626953125,-0.22556994064140598,-66.3751220703125,-9.23742742712983,-43.1402587890625,-6.204458052470293,820.4746843514532,614.5236674634915,0.2580679398730772,0.05772531551031104,1
2022-03-10,0.01571665749506801,0.01582779319076555,-0.07004537227163998,-0.0730473781127331,0.028144507004409573,0.022630841697864737,1.2381270726540787,-0.037237924996976424,42.429709377932916,43.1680829818107,-18.539292281972052,-14.292329313338733,-4.246962968633319,0.0,0.0,0.20186008118210017,42.18684493766971,30.03112379240439,27.840105956448642,-46.984442125164435,28.309373267910104,645.2451171875,652.6188197303992,0.02661815095704606,657.8043151855469,661.2896896726493,0.007017336051139779,688.09765625,677.4442706060072,-0.0373163705699023,706.6089880371094,698.1129313599307,-0.0625361970539992,722.3805361938477,716.6178494283231,-0.08300360276687169,10.3212890625,1.5827793190765511,-51.46405029296875,-7.2090173612435136,-49.89434814453125,-7.004537227164,820.4746843514532,614.5236674634915,0.23860126797141365,0.0723055711092693,1
2022-03-11,0.002943952854001619,0.022173416034654503,-0.08412562932966527,-0.06879995127153826,0.022787869458994647,0.02210779884873007,0.840251365641814,-0.3197755186208936,43.18602919793444,43.55284104440437,-17.23077356451472,-14.880018163573931,-2.3507554009407894,0.0,0.0,0.19664754804406068,43.904500723389,39.75005418135274,27.258850670820074,-48.66097150342332,27.66682981081307,648.1274780273437,656.5360409530787,0.02506143609360827,656.7293701171875,661.849833986429,0.011635102111980329,685.0464416503906,676.1991480148045,-0.03018183439087915,706.0662854003906,696.7896594689504,-0.0590536651644662,722.2003256225586,716.0567131356712,-0.08007451696213236,14.41180419921875,2.2173416034654396,-10.74945068359375,-1.5922283050655153,-61.0242919921875,-8.412562932966525,820.4746843514532,614.5236674634915,0.23496558750548316,0.07502864317506376,1
2022-03-14,0.032753375594370526,0.08888118728061967,-0.0502354521477949,-0.03836409198047641,0.023786020827163332,0.02359780566316704,1.3345421784310714,0.6512764359326715,50.93224836353598,47.64435532142944,-14.273348296985887,-14.758684190256323,0.48533589327043636,0.0,0.0,0.1837731610532905,64.42015235003801,50.17049933703225,25.674583336509365,1.0799963197045428,31.74016993359659,659.3287231445313,666.4009804270524,0.04065064252417441,656.0848815917968,666.2645658752601,0.04579586975134292,683.2318817138672,677.1450252872079,0.004243036279075252,705.8860192871093,696.3716555819374,-0.027986331181428577,722.1334155273438,715.7355633318766,-0.04985582356142963,56.0062255859375,8.88811872806196,-6.44488525390625,-0.9305675666362714,-36.29119873046875,-5.023545214779485,820.4746843514532,614.5236674634915,0.1957991294821336,0.10436375355094193,0
2022-03-15,-0.012859060230743569,0.07245069747394006,-0.03372451905054852,-0.03329825264731989,0.023193936501990586,0.022856032213163263,0.9952927768160422,-0.2458296836461692,48.070398597337,46.238568687561276,-12.49744688261012,-14.306436728727084,1.8089898461169636,0.0,0.0,0.18472517296733654,56.48269714210061,54.935783405175876,24.273366640586058,-4.507994619337244,30.851633748184128,668.4799926757812,670.0366073940767,0.013205883121509355,655.9778686523438,668.272437775781,0.03251632973472422,682.0499267578125,677.1605334815811,-0.0069526661372567656,705.359013671875,695.6240356564173,-0.03976861683205069,722.0091299438477,715.3234977341333,-0.0619123315230089,45.75634765625,7.245069747394016,-1.07012939453125,-0.15774824790398528,-23.63909912109375,-3.372451905054851,820.4746843514532,614.5236674634915,0.21137629015938791,0.09269668558330434,1
2022-03-16,0.016959069702727092,0.056157043975008314,-0.04588890072522955,0.0157820928597725,0.019735981187822223,0.022089917483899435,0.7045378646160247,-0.29170240632675726,51.86261505624901,48.2932770308035,-10.047347193331348,-13.454618821647937,3.4072716283165896,0.0,0.0,0.17406368898294952,85.35106869509644,68.7513060624117,22.832545006583963,21.100880081076518,31.720545024346762,675.80478515625,676.2891957822491,0.019220916583685486,659.492822265625,672.0036986453832,0.04443043093677052,680.3935150146484,678.268518155586,0.012347057046486504,704.6788500976562,695.3561987950139,-0.022541442157461015,721.8930239868164,715.0392419306016,-0.04584980091015134,36.62396240234375,5.615704397500833,35.1495361328125,5.3774671157833875,-33.12823486328125,-4.58889007252295,820.4746843514532,614.5236674634915,0.19117506913379698,0.10782710784819056,1
2022-03-17,0.02202830661413646,0.06271998909066956,-0.02355256567810171,0.026529398550551697,0.02016873357037283,0.022741304290384443,0.7717513273315425,0.10923632164600883,56.39268324412037,50.859670516844794,-6.802874073548423,-12.124269872028036,5.321395798479612,0.0,0.0,0.16500027484568516,95.07078074543985,78.9681821942123,21.738722504149116,67.33019133605941,37.52593795386912,684.1141845703125,685.5152459186347,0.0290202455509139,664.6796508789063,677.8152709264783,0.05910771491281527,679.5445068359375,680.7160255875763,0.035940014391677225,704.2174841308594,695.6938992520357,-0.0003551998425057992,721.8234204101562,714.9206987814604,-0.024737454776133164,41.5469970703125,6.271998909066953,51.8682861328125,7.954050129768922,-16.98016357421875,-2.3552565678101702,820.4746843514532,614.5236674634915,0.16550105454517636,0.1270565733081536,1
2022-03-21,0.004357886875280714,0.06421819439256393,-0.013275813355132504,0.028577405571672765,0.019841568838051247,0.02273668574629272,0.6301105111309957,-0.17310347832973583,57.268301580506986,51.3645758505549,-3.938656734873007,-10.48714724459703,6.548490509724024,0.0,0.0,0.16124602127893126,96.45424049573968,92.29202997875866,20.80973040373205,75.98291224491179,36.3194001253934,692.647119140625,692.6885493624231,0.020772535843686716,670.3872985839844,683.1279773489368,0.054666694526320114,679.0688690185547,683.2226094601949,0.04118328568332764,703.4721606445313,696.1386650605948,0.005064870800578991,721.7789825439453,714.8363346838997,-0.020427065141159908,42.6646728515625,6.421819439256389,57.07647705078125,8.781554716847891,-9.51275634765625,-1.3275813355132458,820.4746843514532,614.5236674634915,0.16044397099448082,0.1308442557187318,1
2022-03-22,0.005146294081248115,0.0357700100199545,-0.01203427022116732,0.03465836760815111,0.014513491591195833,0.02275101788692332,0.5341252496149465,-0.1465231007394756,58.33686248490109,51.97007591458393,-1.3594672801982597,-8.661611251717277,7.302143971519017,0.0,0.0,0.15730022588377937,98.13107922971317,96.55203349029757,19.52636496660539,77.37166423166687,38.0679251412921,697.5557006835937,698.68362193823,0.018805761881659805,678.4422119140625,688.1363027563744,0.0475081806670721,678.6360382080078,685.8370054249299,0.04720900022703498,703.0383776855468,696.7086821536884,0.010860558465432811,721.7709710693359,714.7918344276727,-0.015374965777649904,24.54290771484375,3.5770010019954515,80.54913330078125,12.78304782601873,-8.6566162109375,-1.2034270221167367,820.4746843514532,614.5236674634915,0.1545025612964948,0.13529428561867388,0
2022-03-23,-0.009972191778904294,0.03879909294501971,-0.028151861878386475,0.028042318982649306,0.015894057797482403,0.022788790564288702,1.5013967718231753,1.9811518346627075,55.42949436554826,50.69832045011593,0.1114149603201895,-6.907006009309784,7.0184209696299735,0.0,0.0,0.15131387493757062,82.56171063754746,92.38234345433345,18.835519236746276,90.8043834711588,50.05683125265334,702.8114868164063,700.3180119562157,0.0011031481276625155,685.6457397460938,690.9454826174314,0.02616665021901482,677.6169860839843,687.5274612884821,0.03832519910441627,702.3601184082031,696.9784179035212,0.0017465023309758392,721.6883352661133,714.6721346576194,-0.025082216781640375,26.2789306640625,3.8799092945019793,72.0352783203125,11.406081176418287,-20.38104248046875,-2.8151861878386435,820.4746843514532,614.5236674634915,0.16613144773269653,0.12658441793160458,0
2022-03-24,-0.024742256951727715,-0.0037978036202614973,-0.04504525319278152,-0.0056176177663618265,0.01747986393709309,0.023359670496132898,0.9463023499443048,-0.3536014325392225,48.97303078630576,47.730320091841264,-0.1261524162251817,-5.550835290692864,5.424682874467682,0.0,0.0,0.14581386140968744,66.4241552231668,82.37231503014249,17.785395286517847,40.1816322412227,49.43879166573344,702.2883056640625,695.6048302364355,-0.022939067527195264,689.0465454101562,690.0787524682393,-0.004162387334187995,675.9986328125,687.3989856226144,0.015058956468627323,701.2518835449218,696.5548814295018,-0.021495010711199386,721.5650692749024,714.3679689857356,-0.04904145722240578,-2.61590576171875,-0.3797803620261463,34.008056640625,5.21459669298354,-32.3670654296875,-4.504525319278158,820.4746843514532,614.5236674634915,0.19571616431142405,0.10442589326341394,0
2022-03-25,-0.00814473987106612,-0.03320839331283765,-0.046638752383022175,-0.020468230785745445,0.017518373588025642,0.02337921236205669,0.7552288360914882,-0.18817329962176665,47.07717130731068,46.82002420550542,-0.7566688896336018,-4.5920020104810115,3.8353331208474097,0.0,0.0,0.13810867897534762,61.24337631344448,70.07641405805292,17.16484104029718,25.684274511800922,50.09991021642721,697.6127807617188,690.5997940508529,-0.02440187386395635,690.8634826660157,688.3534741430481,-0.014870898873800829,674.3338989257812,686.7504842947154,0.009277040296909058,699.9676611328125,695.9287839797365,-0.027684049605612025,721.41646484375,714.0076522997035,-0.05659247487913246,-23.37762451171875,-3.3208393312837634,18.16937255859375,2.7428765711532055,-33.294677734375,-4.663875238302223,820.4746843514532,614.5236674634915,0.20553493274410795,0.09707177777111553,1
2022-03-28,0.0013277992521063542,-0.036125145717426976,0.009440506492760958,-0.014478851379762903,0.01752483412569753,0.01989428277241683,0.7404631092358822,-0.03736763632848683,47.43154588112168,46.98913832005141,-1.1699513169056672,-3.9075918717659426,2.7376405548602754,0.0,0.0,0.13822874733258603,62.08109569113215,63.24954240924782,16.969957300693228,11.580582794156859,51.777970241239544,692.5044311523437,687.5643321016101,-0.015900292408087737,692.5757751464844,687.1061894266984,-0.0160016670248326,674.6525726318359,686.2498103812297,0.010139790239890138,698.7895068359375,695.3626797326228,-0.02475151453136124,721.3121594238281,713.6610673476451,-0.05520321638901757,-25.541748046875,-3.6125145717426976,17.1229248046875,2.577315704499549,6.37347412109375,0.9440506492760934,820.4746843514532,614.5236674634915,0.2039363469630269,0.09826909539185533,1
