Price,Close,High,Low,Open,Volume
Ticker,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS
Date,,,,,
2021-02-22,526.696533203125,542.5507641054544,522.5725498526962,536.8007318520345,20005630
2021-02-23,527.367431640625,539.2152795542904,524.0663084619349,530.9232508156424,21902450
2021-02-24,544.9212646484375,546.488601852933,527.2989298648927,533.2743020651174,19087950
2021-02-25,541.6936645507812,550.5097352639057,539.8716909524757,548.6534434649889,15845950
2021-02-26,515.7302856445312,534.2538616097582,511.4299882967802,531.9028857135835,37133260
2021-03-01,515.9164428710938,526.0157391048767,508.8831848536207,520.6379456202106,20318810
2021-03-02,520.7652587890625,529.9437624236156,515.4511396724117,519.168565775446,22086340
2021-03-03,542.962158203125,545.9449717085294,523.0966441722534,525.4524629847098,22524130
2021-03-04,537.378662109375,545.3376139967542,529.0621193923805,531.9028769042263,22346980
2021-03-05,533.3624877929688,540.6945057911047,529.1699873601093,532.8825112734959,20757600
2021-03-08,521.1912841796875,538.1671307782547,520.2459794072222,535.7231254345802,17210420
2021-03-09,530.4384765625,533.3722641229988,522.5970668679887,526.1234711454158,18114960
2021-03-10,543.1728515625,544.7352266129437,532.8825324352973,532.8825324352973,21912500
2021-03-12,544.426513671875,555.4123414050612,540.81682562586,548.5553989185789,25080130
2021-03-15,532.7894287109375,547.1498010110238,524.1202572537092,545.7196170068006,20870080
2021-03-16,534.44482421875,539.44553565432,530.9233227594767,537.6284050286546,15613050
2021-03-17,525.0263061523438,534.8807103289155,523.5227028285564,534.8415493214368,11347580
2021-03-18,526.2067260742188,543.1678675581927,519.6583475917425,531.2171829510203,23390580
2021-03-19,534.1803588867188,536.7027462962429,508.39824612161686,520.7358169642482,32203100
2021-03-22,527.9210205078125,538.4660352957355,522.793020244961,533.5192518778964,19384610
2021-03-23,526.8875732421875,533.3722782516812,524.0664258303938,529.9438063069964,18490380
2021-03-24,516.25927734375,526.4173440338014,515.2502984414339,526.4173440338014,17376430
2021-03-25,501.7519226074219,519.1685880909586,499.88588547007356,517.2094613434456,23432710
2021-03-26,507.71258544921875,514.0748447560475,503.0057906296452,506.43426242556296,23474600
2021-03-30,508.7411193847656,515.2503371679677,504.47514000285815,512.7867209215993,18452800
2021-03-31,504.4604187011719,511.21452714826114,501.8253908916279,507.9035982340296,18459750
2021-04-01,516.4404907226562,518.0420264939444,505.645684041146,510.3524785158785,21482340
2021-04-05,486.1083068847656,515.1523837956208,482.0039341036371,515.1523837956208,37396800
2021-04-06,489.10577392578125,495.60518631946223,485.13855431560813,494.67949177912146,20709060
2021-04-07,497.3340759277344,500.4588852541318,483.904271421136,487.8225246310237,24027820
2021-04-08,492.67144775390625,501.0467032703654,491.2510687978265,499.57735809948457,14078790
2021-04-09,477.2726745605469,490.7612514893784,474.59845578164436,489.7816881131521,29026460
2021-04-12,441.8810729980469,464.3130697564446,431.00791285408354,464.3130697564446,45000460
2021-04-13,463.2110290527344,467.7317044437641,442.179802282012,444.241793939732,31750190
2021-04-15,456.5058898925781,465.29257401231405,447.2783903241127,461.1882013363566,28971850
2021-04-16,452.2252197265625,459.4152111279493,449.61957762841945,456.57448339186584,21426480
2021-04-19,438.8052062988281,441.1953433536867,427.28556120006124,435.9057070447333,34265070
2021-04-20,451.93621826171875,460.29679472406394,446.21066950242135,446.9747276906794,33945970
2021-04-22,459.2878723144531,461.766166443748,441.36677720847433,445.70133316132876,25635390
2021-04-23,457.2406005859375,466.2525957826938,451.62769156754683,452.6660263753332,27295250
2021-04-26,463.9750671386719,473.03112532711816,459.41520104051824,459.41520104051824,29039890
2021-04-27,476.5625,478.9917981167241,464.95466765084063,464.9987611574631,26449970
2021-04-28,517.2976684570312,520.148171678806,481.45541691173844,481.45541691173844,85764540
2021-04-29,537.27587890625,541.2088407587573,522.1073522613893,524.0664792867605,72584860
2021-04-30,534.048095703125,541.1744423293021,521.8819367637979,524.066343699835,41248880
2021-05-03,543.770263671875,546.5963133166297,518.3114234474224,520.765234260658,40335910
2021-05-04,550.0983276367188,563.2440517079826,544.6372497308671,549.5350667248497,48383470
2021-05-05,540.2439575195312,558.3511737797894,534.0971728755161,556.685903935516,43786930
2021-05-06,541.5809936523438,550.5048014863842,536.1493315778504,545.4208652715618,22231110
2021-05-07,538.1524658203125,549.8435508773428,534.6456126267944,547.5758595504832,18510330
2021-05-10,538.5149536132812,546.1065696032821,533.3722460071517,546.1065696032821,19973390
2021-05-11,531.3837280273438,534.6554960846059,527.9846717330713,530.0662439546535,16172480
2021-05-12,524.8892211914062,532.8824313551013,522.0484637267834,530.2474037056019,15393360
2021-05-14,522.1415405273438,529.4540074737397,515.9360447723966,529.4540074737397,15257620
2021-05-17,531.9127197265625,537.7802947977424,520.6428382738696,524.0664074987108,24115830
2021-05-18,557.2491455078125,558.8409360794674,538.8578182186459,538.8578182186459,31478830
2021-05-19,551.6116943359375,560.5942732781933,548.0656798853868,555.8972838792772,22509060
2021-05-20,547.4534912109375,554.236955749258,543.1679013669691,551.2982655705367,14888270
2021-05-21,551.66552734375,557.8612769247493,547.213429064802,554.4328055125691,18569660
2021-05-24,548.8395385742188,557.1756324116848,547.5759233516319,551.8860260909878,12150600
2021-05-25,550.3823852539062,554.315346690273,546.7923068833867,552.4737626982544,13155460
2021-05-26,565.3207397460938,567.6373976936653,547.1939136778467,552.473774918428,29167460
2021-05-27,556.6075439453125,566.3983361444451,553.5513106046395,566.1828010845226,21525900
2021-05-28,549.6085205078125,563.2489282473732,547.7816444196325,560.7020874434626,15263750
2021-05-31,551.2933349609375,554.8932182894104,544.6372187848972,550.514598843727,17958110
2021-06-01,566.6577758789062,569.9099333083112,551.0435340107047,552.8655672428237,28534510
2021-06-02,568.9940795898438,572.5548020824446,562.5191799239212,563.8856899865663,20131950
2021-06-03,578.08935546875,579.4117421231401,566.2023442278673,572.0650167369633,22303780
2021-06-04,587.0963745117188,588.7175805740072,577.9423835917875,579.4117286348175,24453670
2021-06-07,561.2652587890625,572.442109540887,556.6319435048385,568.1467148975534,28358050
2021-06-08,563.77783203125,569.8119753534322,560.324907321205,563.3468217939512,17890070
2021-06-09,555.853271484375,567.656998670876,551.2297010785354,567.656998670876,15381120
2021-06-10,596.2014770507812,599.003014001864,556.0981494045899,559.820478335348,52961200
2021-06-11,599.4927978515625,610.2679951985676,592.1656827876965,598.0577111709863,37027210
2021-06-14,606.7561645507812,612.1291145536817,585.3478283045667,594.565492417057,26336010
