Price,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG
Date,,,,,
2021-02-22,111.5767593383789,112.15852752799226,111.40046085281456,111.76186770439676,6975500
2021-02-23,112.4053726196289,114.52971789253061,112.11449179955054,112.63455735750722,10145300
2021-02-24,112.52875518798828,113.04001072757049,111.86765097390435,112.25549420643237,7263000
2021-02-25,111.5767593383789,113.701110695007,111.3211315781353,112.378895591123,7790800
2021-02-26,108.88827514648438,111.88528239417178,107.38095827891956,111.54150872569735,17718800
2021-03-01,109.55818939208984,110.61595342746708,109.3025616264354,109.44360041787223,7740200
2021-03-02,109.21440887451172,110.06062139460482,108.80011585710066,109.18796578405558,10206500
2021-03-03,108.56214141845703,109.47886677446748,108.23599421721255,109.09983338251871,7537000
2021-03-04,107.67182159423828,109.98127426154605,107.13412305907916,108.5092174243524,10228100
2021-03-05,111.04788970947266,111.35640368722328,108.024439277316,108.20954766396638,10490900
2021-03-08,112.2202377319336,113.62177547800785,110.46610971653185,110.8539596853021,9224700
2021-03-09,111.22416687011719,113.63939891074642,111.11838778089204,112.51993213145278,8859700
2021-03-10,112.24667358398438,113.19866523222372,110.59832477324915,111.1977261749073,9070900
2021-03-11,111.86766052246094,112.69623996843566,111.70017862189884,112.06157879272709,6941500
2021-03-12,112.95184326171875,113.55125133108164,112.51992378169147,112.51992378169147,6521900
2021-03-15,113.32207489013672,113.7451778211891,112.11446216287072,113.1722262156015,7172600
2021-03-16,113.65702819824219,114.57375337281859,113.27798815621074,113.27798815621074,6485200
2021-03-17,113.19866943359375,114.45035846656883,113.13697336763425,113.80688746339284,6192900
2021-03-18,113.44549560546875,113.74519299451809,111.98225491316181,113.01358273601572,6871300
2021-03-19,112.83726501464844,114.36222178770834,112.74030924810994,113.79808005004801,20262100
2021-03-22,114.75005340576172,115.37590463420374,112.83726019799866,112.83726019799866,8077600
2021-03-23,116.88321685791016,117.49142136607635,114.58257392203542,114.95279062490975,9503800
2021-03-24,116.84795379638672,117.3592092912953,115.13789556001632,115.41997312280662,8318000
2021-03-25,117.65892028808594,117.78232587359892,116.39842133964629,117.31514662485694,7517300
2021-03-26,119.3954086303711,119.53644741258093,116.77743508021996,117.42972936029147,10821200
2021-03-29,121.26416778564453,121.29061088233964,118.9987772006174,118.9987772006174,11176000
2021-03-30,119.3954086303711,120.76169325135682,119.12215439621367,120.41791962609447,8090600
2021-03-31,119.37777709960938,120.54132689391294,119.22792843522764,119.5981451560882,9202600
2021-04-01,118.36405181884766,119.4218154638835,117.52665616028573,119.04278898324173,9117800
2021-04-05,120.2768783569336,120.98205880320322,118.7607451050233,118.96349339408219,8279100
2021-04-06,120.32093811035156,120.77930735492218,119.56287158864478,119.8802020733173,6180600
2021-04-07,120.53250885009766,121.0525742001161,120.10058264658184,120.86745912712422,10244500
2021-04-08,120.9908676147461,121.31702147025739,120.40028286314211,120.67353708923667,6190300
2021-04-09,120.20635223388672,120.99968523532557,119.49236194773002,120.32975779630642,5855400
2021-04-12,120.69117736816406,120.79694973279643,119.62460349092369,120.32096064175178,6440900
2021-04-13,119.09575653076172,120.22404031649307,118.8577551766798,119.89789977770933,9161200
2021-04-14,119.52764129638672,119.695109724061,118.62853584423488,119.45712190306118,7584000
2021-04-15,120.97327423095703,121.4316301842519,119.76564792464269,119.8538005426923,7945300
2021-04-16,120.9820785522461,121.5550301926319,120.6559380908142,121.29940913235836,7708500
2021-04-19,120.4179458618164,120.83223896844662,119.34254845101479,120.70883336967601,9149400
2021-04-20,121.42281341552734,122.1632469444233,117.70299910819716,118.85772570806594,10040500
2021-04-21,120.62947082519531,122.145604020799,120.40910278455753,121.54619595616141,8465900
2021-04-22,119.43189239501953,120.46093202318721,118.92623205971965,120.08834660908695,7338300
2021-04-23,118.81977081298828,119.83107784401682,118.20766143226642,119.6980029364123,6708300
2021-04-26,116.44231414794922,118.66009410797133,116.36247731808953,118.42058361839227,9910600
2021-04-27,116.37132263183594,117.00117798313497,115.58179364953986,116.42456071175383,8296800
2021-04-28,116.56651306152344,116.96572429626731,116.10522456099442,116.8415291559318,6262800
2021-04-29,117.55117797851562,117.97700138221813,116.48664654176264,116.48664654176264,6786800
2021-04-30,118.35848236083984,118.58026036261091,117.32942918392082,117.76411894044394,9188600
2021-05-03,119.7601089477539,120.36333855468159,118.89960930426605,118.89960930426605,8070300
2021-05-04,119.35202026367188,120.49640211053566,119.05928527017424,119.74235163667184,9624000
2021-05-05,118.39396667480469,119.73350084480333,118.31411631183799,119.2012282608778,8295900
2021-05-06,119.88429260253906,120.0883245340335,118.80201508308666,118.88185189937765,9771100
2021-05-07,119.8931655883789,120.67382837712037,119.5471924954145,119.83107479541253,6299100
2021-05-10,122.12869262695312,122.79402654638713,120.3722148697983,120.54963454106338,8852700
